"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"256","SYNCRIP",-0.672281177629443,18.0078791955914,-9.46679739345677,6.08354835319606e-11,9.56333801122421e-10,14.4327574428292
"563","ERP44",-0.816846254171669,17.3061392228643,-9.44486055490478,6.43795451877705e-11,9.9873004968923e-10,14.3944584296455
"932","H2AC11",1.76478274448612,16.370265117299,9.42778062593722,6.72842251017515e-11,1.03696864568582e-09,14.376509681511
"1375","NEK7",-1.64238757458088,16.5918635203385,-9.40432913772342,7.14916205992055e-11,1.09465741151251e-09,14.2845174489783
"206","YWHAE",-1.07453839319159,19.503194584509,-9.36237482662405,7.96999989973312e-11,1.21246837184327e-09,14.13626283894
"205","RTN4",-0.838649633972774,19.9311486648353,-9.34365840365656,8.36659206158384e-11,1.26464256930863e-09,14.113353931578
"804","FAF2",-1.17069472722067,15.3346721739518,-9.32969329480682,8.67556760461507e-11,1.29474610200521e-09,14.0951093407042
"1983","CLCC1",2.09826265763615,12.8430185021211,9.3045510770543,9.26147644241253e-11,1.35643238827383e-09,14.0604637853576
"447","PARK7",-1.33829129302546,18.8009744101912,-9.33034889299203,8.66080564046078e-11,1.29474610200521e-09,14.0575417097823
"2794","TOP2B",-0.79360068485918,14.4362499998932,-9.30648550675957,9.2149976714727e-11,1.35643238827383e-09,14.0163165438501
"436","RPS3A",-0.663635958888893,18.4491238861123,-9.30085792262448,9.35087702086107e-11,1.36107209970311e-09,14.0152758575699
"1065","EIF6",-2.00689971897274,16.4230858064193,-9.31180977050147,9.08829489812741e-11,1.34781128111852e-09,14.0104747241844
"1009","FAP",2.2999531166962,15.7716686363874,9.26703563767055,1.02116763392518e-10,1.47724741153102e-09,13.9228512454573
"1464","MGARP",-1.85277881041422,15.6060924062635,-9.2640836809717,1.02905374807378e-10,1.47957849875486e-09,13.9195341738954
"1909","SERPINB9",1.01170518273727,17.1541923464531,9.25074614043618,1.06546605167433e-10,1.52264784839277e-09,13.8789856295347
"301","PABPC1",1.10150059209035,17.7893998328091,9.24132028618082,1.09198887570669e-10,1.55115046320264e-09,13.839246700804
"501","CKAP5",2.90646820903753,15.1786602803599,9.21990369537255,1.15478172179852e-10,1.63052413173707e-09,13.7944194712464
"187","LDHB",1.04727691033839,20.6358575248382,9.12883165350132,1.46570180680039e-10,2.05721717883054e-09,13.5469231603234
"1529","HSPA12A",-0.811838054552309,17.8629565667404,-9.07131491653892,1.70483292198473e-10,2.37869587576331e-09,13.4310922176558
"2085","PZP",1.25268358741274,13.7585588630207,9.0461962038089,1.82139890391354e-10,2.51161322539657e-09,13.4183478160994
"50","FN1",1.19153133611744,18.9322489267448,9.06589269469411,1.72933495822168e-10,2.39868931263925e-09,13.3493405127314
"1711","RELA",1.9792997655328,12.9198457431323,9.02643130833303,1.91880679174396e-10,2.63055024123969e-09,13.3368117314839
"2187","SLC16A3",-1.38208788242415,15.116623873285,-9.00705777373078,2.01943916784083e-10,2.75250725882583e-09,13.2460483507708
